variation_id,sequence_durations,instance_id
23.0,8.4582017,4432
23.0,7.828454299999999,4488
23.0,8.2211584,4583
23.0,7.3144962,4634
23.0,7.661412200000001,4680
23.0,8.319996999999999,4735
23.0,6.4069727,4791
23.0,7.921273300000001,4853
23.0,6.5294398000000005,4910
23.0,9.999806999999999,5218
23.0,10.9929918,5395
23.0,10.4512685,5471
23.0,12.583623099999999,5604
23.0,12.1486539,5717
23.0,14.4222598,5770
23.0,10.0993016,5818
23.0,13.667055300000001,5879
23.0,11.897681899999998,5935
23.0,10.5339675,5996
23.0,11.216658199999998,6050
23.0,10.995521,6094
23.0,11.1466955,6139
23.0,12.089402600000003,6190
23.0,10.954680999999999,6384
23.0,13.8875866,6497
23.0,11.682622599999997,6540
23.0,12.654688100000001,6584
23.0,13.0616787,6585
23.0,12.4036334,6631
23.0,10.823074299999998,6697
23.0,12.638857699999999,6741
23.0,10.9914792,6775
23.0,10.9381689,6812
23.0,7.9202943999999995,6844
23.0,12.8072625,6880
23.0,8.986628699999999,6917
23.0,11.3746657,6942
23.0,11.8499716,6943
23.0,11.7080634,6961
23.0,13.307666000000001,7048
23.0,9.730032899999998,7106
23.0,8.8296813,7127
23.0,10.467430100000001,7152
23.0,8.1576411,7175
23.0,9.746813900000001,7221
23.0,9.810233399999998,7251
23.0,12.404595400000002,7293
23.0,10.418606500000001,7322
23.0,12.570646600000002,7357
23.0,11.745782299999998,7384
23.0,12.2831379,7461
23.0,15.4721429,7506
23.0,10.972411699999999,7547
23.0,9.2020145,7633
23.0,10.801497799999998,7660
23.0,10.396205900000002,7688
23.0,10.895182100000001,7720
23.0,5.769478,7782
23.0,12.622450000000002,7809
23.0,8.2172267,7863
23.0,8.986628699999999,7898
23.0,9.2176862,7921
23.0,8.7522646,7946
23.0,5.8632684,8002
23.0,8.086141,8023
23.0,11.0464722,8052
23.0,9.4777238,8072
23.0,8.9413263,8173
23.0,11.929786499999999,8201
23.0,11.6350381,8227
23.0,11.963086,8249
23.0,8.4269528,8279
23.0,11.044077999999999,8304
23.0,9.130761,8339
23.0,11.114469800000002,8376
23.0,10.543087400000001,8415
23.0,9.538290000000002,8462
23.0,10.2534248,8483
23.0,8.906777500000002,8509
23.0,8.2441846,8541
23.0,9.8754293,8567
23.0,10.6304596,8590
23.0,9.1084882,8612
24.0,6.063542,3887
25.0,17.037278600000004,4083
26.0,22.9265876,4582
27.0,12.9825628,5391
28.0,8.795941299999999,5392
29.0,8.315650900000001,7080
30.0,25.952812199999997,7292
31.0,6.9425345,7426
32.0,8.907285,7427
33.0,25.6779166,7746
34.0,7.4640927,254
34.0,7.0403984,337
34.0,4.9689163,790
34.0,4.8954966,855
34.0,4.7283298,917
34.0,6.0876828,982
34.0,5.4243767,1039
34.0,5.2564908,1100
34.0,6.470715,1166
34.0,7.5836962,1392
34.0,5.929083599999999,1470
34.0,6.776001399999999,1596
34.0,6.5842225999999995,1662
34.0,6.0885543,1721
34.0,5.6314618,1919
34.0,6.2403154,1982
34.0,4.3039086,2035
34.0,4.3517408,2083
34.0,4.8561257,2139
34.0,4.855824699999999,2401
34.0,3.9441403,2599
34.0,3.7910524999999997,2651
34.0,6.4728438,2708
34.0,8.2480117,3318
34.0,7.4805206,3387
34.0,5.4718806,3502
34.0,6.5277905,3546
34.0,4.5679004,3809
34.0,3.9118114999999998,3870
34.0,7.344070799999999,3975
34.0,5.0555009,4181
34.0,6.1438407999999995,4239
34.0,5.607775199999999,4415
34.0,5.383808,4517
34.0,5.3204582,4566
34.0,6.4172995,4664
34.0,4.6237031,4775
35.0,4.7355332,396
35.0,4.7355332,2343
35.0,4.7355332,2761
35.0,4.1032981,2804
35.0,5.9522864,2907
35.0,3.6643114999999997,2966
35.0,4.7037024,3016
35.0,5.056407,3649
36.0,4.0197233,5850
36.0,4.0197233,7163
37.0,26.104665899999997,3700
38.0,3.7631336,5352
39.0,5.709003300000001,6028
40.0,4.976032399999999,7064
41.0,6.5176932,8188
64.0,11.5522809,109
64.0,14.2978992,538
64.0,14.0648286,807
64.0,17.824027700000002,1340
64.0,14.918347999999998,1486
64.0,19.900545100000002,1680
64.0,22.2405398,2153
64.0,13.8585508,2774
64.0,17.7679336,3271
64.0,14.918347999999998,3512
